Date,Non-OPEC,OPEC,Total,Price,Market_Size,Non-OPEC yoy,OPEC yoy,Price yoy,Price yoy adj,OPEC_cooperate,NOPEC_cooperate
1965-12-31,10232.295,7998.7876,18231.0826,2.86,52140.896236,0.0,0.0,0.0,0.0,1,1
1966-12-31,11001.895,8794.916,19796.811,2.88,57014.81568,0.07251863570940711,0.09488384706775474,0.0069686693160934355,-0.05324088167637576,0,0
1967-12-31,11866.278,9372.186,21238.464,2.92,62016.31488,0.07563306515610026,0.06357253953671636,0.01379332213233577,-0.04641622886013342,0,0
1968-12-31,12715.343,10454.688,23170.031,2.94,68119.89113999999,0.06910877867831919,0.10930412345509019,0.006825965070399891,-0.0533835859220693,0,0
1969-12-31,13364.741,11575.593,24940.334,3.09,77065.63205999999,0.04981059590535258,0.10184833950700625,0.0497615095590638,-0.010448041433405393,0,0
1970-12-31,14413.325,13020.559,27433.884,3.18,87239.75112,0.07553315550619505,0.11763074004501854,0.028710105882431575,-0.03149944511003762,0,0
1971-12-31,14915.783,14085.006,29000.789,3.39,98312.67471,0.03426678814015151,0.07858125750677543,0.06394872460027351,0.003739173607804319,0,0
1972-12-31,15649.1,15000.872,30649.972,3.39,103903.40508000001,0.04799349327077454,0.06299750543253096,0.0,-0.06020955099246919,0,0
1973-12-31,16423.064,17022.06,33445.124,3.89,130101.53236000001,0.04827328097629272,0.12640181715288434,0.13757923623799612,0.07736968524552693,0,0
1974-12-31,16590.738,16928.94,33519.678,6.87,230280.18786,0.010157899520649352,-0.005485566463989584,0.5687549486039031,0.5085453976114339,1,1
1975-12-31,16932.773,14904.995,31837.768,7.67,244195.68056,0.020406386975404877,-0.12732819176268284,0.11015250914490676,0.04994295815243757,1,0
1976-12-31,17712.102,16878.639,34590.741,8.19,283298.16879,0.04499715993964615,0.12435246628303823,0.06559728248581327,0.005387731493344081,0,0
1977-12-31,18736.074,17062.791,35798.865,8.57,306796.27305,0.05620262170598762,0.010851269789682746,0.04535383474471042,-0.01485571624775877,1,0
1978-12-31,19891.44,16232.731,36124.171,9.0,325117.539,0.05983873197202873,-0.04987049173555505,0.04895684472653098,-0.01125270626593821,1,0
1979-12-31,20695.33,16957.715,37653.045,12.64,475934.4888,0.03961858251890557,0.04369325650419111,0.3396418113824921,0.2794322603900229,0,0
1980-12-31,21249.367,14700.218,35949.585,21.59,776151.54015,0.026419035737244228,-0.1428605689067345,0.5353638558080046,0.47515430481553544,1,0
1981-12-31,21570.945,12306.883,33877.828,31.77,1076298.59556,0.015020163598345095,-0.1777036242464479,0.38629220375470885,0.3260826527622397,1,1
1982-12-31,22050.914,10486.962,32537.876,28.52,927980.22352,0.022006781991142903,-0.16002592804844928,-0.10791685273532961,-0.1681264037277988,1,0
1983-12-31,22671.88,9450.608,32122.488,26.19,841287.9607200001,0.027771337781110718,-0.10405369325145436,-0.08522793702647455,-0.14543748801894374,1,0
1984-12-31,23576.354,9175.857,32752.211,25.88,847627.2206799999,0.0391188705303793,-0.02950328248723345,-0.011907188886920746,-0.07211673987938994,1,0
1985-12-31,23737.201,8728.495,32465.696,24.09,782098.61664,0.006799219363429018,-0.04998283462669436,-0.07167365300591977,-0.13188320399838896,1,1
1986-12-31,23945.031,10124.356,34069.387,12.51,426208.03137000004,0.008717348471409226,0.14835104508502972,-0.6552684921479602,-0.7154780431404294,0,1
1987-12-31,24104.56,10043.514,34148.074,15.4,525880.3396000001,0.006640205789336228,-0.008016953003580336,0.20783918494076367,0.14762963394829448,1,1
