date,value
1965-01-01,100.6824
1965-02-01,100.6542
1965-03-01,100.6034
1965-04-01,100.528
1965-05-01,100.4479
1965-06-01,100.3871
1965-07-01,100.3706
1965-08-01,100.4113
1965-09-01,100.5109
1965-10-01,100.6618
1965-11-01,100.8464
1965-12-01,101.0404
1966-01-01,101.2108
1966-02-01,101.3172
1966-03-01,101.333
1966-04-01,101.242
1966-05-01,101.0467
1966-06-01,100.7792
1966-07-01,100.4683
1966-08-01,100.145
1966-09-01,99.84435
1966-10-01,99.5798
1966-11-01,99.3675
1966-12-01,99.20785
1967-01-01,99.11873
1967-02-01,99.09363
1967-03-01,99.13934
1967-04-01,99.25674
1967-05-01,99.43521
1967-06-01,99.65254
1967-07-01,99.88741
1967-08-01,100.1215
1967-09-01,100.3351
1967-10-01,100.5093
1967-11-01,100.6327
1967-12-01,100.7047
1968-01-01,100.735
1968-02-01,100.7518
1968-03-01,100.7754
1968-04-01,100.8236
1968-05-01,100.9046
1968-06-01,101.0247
1968-07-01,101.1889
1968-08-01,101.3861
1968-09-01,101.5927
1968-10-01,101.7792
1968-11-01,101.9156
1968-12-01,101.9877
1969-01-01,102.0024
1969-02-01,101.9844
1969-03-01,101.9368
1969-04-01,101.8569
1969-05-01,101.7319
1969-06-01,101.5716
1969-07-01,101.3926
1969-08-01,101.2115
1969-09-01,101.0241
1969-10-01,100.8304
1969-11-01,100.6351
1969-12-01,100.4395
1970-01-01,100.2419
1970-02-01,100.0427
1970-03-01,99.84328
1970-04-01,99.65082
1970-05-01,99.48253
1970-06-01,99.3456
1970-07-01,99.22915
1970-08-01,99.1349
1970-09-01,99.076
1970-10-01,99.0721
1970-11-01,99.1445
1970-12-01,99.28596
1971-01-01,99.45727
1971-02-01,99.62284
1971-03-01,99.76236
1971-04-01,99.87403
1971-05-01,99.95982
1971-06-01,100.0263
1971-07-01,100.089
1971-08-01,100.1566
1971-09-01,100.258
1971-10-01,100.4225
1971-11-01,100.6643
1971-12-01,100.9795
1972-01-01,101.3302
1972-02-01,101.6845
1972-03-01,102.0274
1972-04-01,102.3497
1972-05-01,102.644
1972-06-01,102.9126
1972-07-01,103.1773
1972-08-01,103.4612
1972-09-01,103.7586
1972-10-01,104.053
1972-11-01,104.3162
1972-12-01,104.5143
1973-01-01,104.6201
1973-02-01,104.5938
1973-03-01,104.4746
1973-04-01,104.2727
1973-05-01,104.0145
1973-06-01,103.7267
1973-07-01,103.4269
1973-08-01,103.1258
1973-09-01,102.8172
1973-10-01,102.4949
1973-11-01,102.1404
1973-12-01,101.7605
1974-01-01,101.3771
1974-02-01,100.9889
1974-03-01,100.5788
1974-04-01,100.1368
1974-05-01,99.65918
1974-06-01,99.14281
1974-07-01,98.58929
1974-08-01,98.00855
1974-09-01,97.42872
1974-10-01,96.90372
1974-11-01,96.49218
1974-12-01,96.24492
1975-01-01,96.1946
1975-02-01,96.32394
1975-03-01,96.59389
1975-04-01,96.97017
1975-05-01,97.41368
1975-06-01,97.89285
1975-07-01,98.38382
1975-08-01,98.87266
1975-09-01,99.35628
1975-10-01,99.8194
1975-11-01,100.2564
1975-12-01,100.6593
1976-01-01,101.0074
1976-02-01,101.2789
1976-03-01,101.4661
1976-04-01,101.5777
1976-05-01,101.6183
1976-06-01,101.5984
1976-07-01,101.5343
1976-08-01,101.4401
1976-09-01,101.3398
1976-10-01,101.2565
1976-11-01,101.2034
1976-12-01,101.1711
1977-01-01,101.1441
1977-02-01,101.1111
1977-03-01,101.0656
1977-04-01,101.0087
1977-05-01,100.9544
1977-06-01,100.9119
1977-07-01,100.8951
1977-08-01,100.9064
1977-09-01,100.9425
1977-10-01,100.9963
1977-11-01,101.0575
1977-12-01,101.1293
1978-01-01,101.2197
1978-02-01,101.3352
1978-03-01,101.4982
1978-04-01,101.696
1978-05-01,101.9063
1978-06-01,102.1135
1978-07-01,102.3017
1978-08-01,102.4511
1978-09-01,102.5517
1978-10-01,102.5914
1978-11-01,102.5853
1978-12-01,102.563
1979-01-01,102.5481
1979-02-01,102.5437
1979-03-01,102.5274
1979-04-01,102.4707
1979-05-01,102.3651
1979-06-01,102.2101
1979-07-01,102.0188
1979-08-01,101.8075
1979-09-01,101.5801
1979-10-01,101.3319
1979-11-01,101.0617
1979-12-01,100.7738
1980-01-01,100.4699
1980-02-01,100.1399
1980-03-01,99.80495
1980-04-01,99.52884
1980-05-01,99.3745
1980-06-01,99.37356
1980-07-01,99.49667
1980-08-01,99.68605
1980-09-01,99.88395
1980-10-01,100.0368
1980-11-01,100.1264
1980-12-01,100.167
1981-01-01,100.186
1981-02-01,100.1963
1981-03-01,100.1984
1981-04-01,100.1689
1981-05-01,100.0857
1981-06-01,99.96082
1981-07-01,99.82318
1981-08-01,99.68382
1981-09-01,99.54166
1981-10-01,99.40125
1981-11-01,99.26529
1981-12-01,99.13705
1982-01-01,99.00737
