,Price
1990-01-31,17.5017391304348
1990-02-28,16.6815
1990-03-31,15.7559090909091
1990-04-30,14.2504761904762
1990-05-31,14.6478260869565
1990-06-30,13.2771428571429
1990-07-31,15.3077272727273
1990-08-31,25.0908695652174
1990-09-30,30.3525
1990-10-31,31.4078260869565
1990-11-30,28.0768181818182
1990-12-31,23.2642857142857
1991-01-31,19.6321739130435
1991-02-28,14.518
1991-03-31,15.0090476190476
1991-04-30,15.3722727272727
1991-05-31,15.9447826086957
1991-06-30,15.4115
1991-07-31,16.2330434782609
1991-08-31,16.6136363636364
1991-09-30,17.7990476190476
1991-10-31,18.8834782608696
1991-11-30,18.35
1991-12-31,15.3027272727273
1992-01-31,15.2191304347826
1992-02-29,15.7225
1992-03-31,15.7540909090909
1992-04-30,16.6377272727273
1992-05-31,17.5871428571429
1992-06-30,19.0109090909091
1992-07-31,18.4939130434783
1992-08-31,17.8038095238095
1992-09-30,18.38
1992-10-31,18.1368181818182
1992-11-30,17.1371428571429
1992-12-31,16.2247826086957
1993-01-31,15.3204761904762
1993-02-28,16.046
1993-03-31,16.314347826087
1993-04-30,16.3886363636364
1993-05-31,16.1190476190476
1993-06-30,15.6431818181818
1993-07-31,14.2086363636364
1993-08-31,14.6477272727273
1993-09-30,14.1281818181818
1993-10-31,14.7514285714286
1993-11-30,13.7868181818182
1993-12-31,12.2195652173913
1994-01-31,13.0814285714286
1994-02-28,12.7525
1994-03-31,12.0760869565217
1994-04-30,13.7504761904762
1994-05-31,14.7913636363636
1994-06-30,15.6886363636364
1994-07-31,16.397619047619
1994-08-31,15.9291304347826
1994-09-30,15.2477272727273
1994-10-31,15.3714285714286
1994-11-30,15.9209090909091
1994-12-31,15.455
1995-01-31,16.0113636363636
1995-02-28,16.553
1995-03-31,16.3278260869565
1995-04-30,17.3795
1995-05-31,17.2934782608696
1995-06-30,16.1913636363636
1995-07-31,15.0661904761905
1995-08-31,15.4086956521739
1995-09-30,15.5333333333333
1995-10-31,14.8672727272727
1995-11-30,15.7359090909091
1995-12-31,17.1733333333333
1996-01-31,16.7152173913043
1996-02-29,16.0019047619048
1996-03-31,16.9671428571429
1996-04-30,17.6568181818182
1996-05-31,16.9182608695652
1996-06-30,17.314
1996-07-31,17.7217391304348
1996-08-31,18.6045454545455
1996-09-30,20.2657142857143
1996-10-31,21.6334782608696
1996-11-30,20.9461904761905
1996-12-31,21.5659090909091
1997-01-31,21.4147826086956
1997-02-28,18.887
1997-03-31,18.1747619047619
1997-04-30,16.7613636363636
1997-05-31,18.4831818181818
1997-06-30,17.2685714285714
1997-07-31,17.2830434782609
1997-08-31,17.6880952380952
1997-09-30,17.9618181818182
1997-10-31,19.0630434782609
1997-11-30,18.51
1997-12-31,16.3508695652174
1998-01-31,13.7031818181818
1998-02-28,12.4365
1998-03-31,11.5127272727273
1998-04-30,12.2277272727273
1998-05-31,12.7566666666667
1998-06-30,11.9118181818182
1998-07-31,12.0421739130435
1998-08-31,12.2061904761905
1998-09-30,13.0813636363636
1998-10-31,12.8140909090909
1998-11-30,11.76
1998-12-31,10.1052173913043
1999-01-31,10.7628571428571
1999-02-28,10.0805
